idweb,dateparution,datefindiffusion,datelimitereponse,nomacheteur,code_departement,famille,nature,nature_libelle,type_procedure,type_marche,type_avis,descripteur_libelle,objet,titulaire,annonce_lie,contractfolderid,etat,url_avis,donnees_format,cpv_principal,cpv_all,buyer_siret,buyer_cp,buyer_ville,amount_eur,duration_months,duration_source_field,date_attribution,date_publication_anterieure
18-12557,2018-01-28,2018-03-01,,La Cité des Congrès de Nantes,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Maintenance|Réseaux divers|Informatique (maintenance serveurs et réseaux),"L'objet du marché concerne la refonte du Lan et du Wifi, les évolutions des infrastructures Pare-Feu, l'évolution de la Téléphonie et les prestations de maintenance associées",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-12557,legacy,32424000,32424000|None,,44041,Nantes cedex 1,,12.0,DUREE_MOIS,,
18-10194,2018-01-25,2018-02-26,,Ministère des Affaires étrangères,75|44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Prestations de services|Informatique (maintenance serveurs et réseaux),"Fourniture dans le domaine des réseaux de matériels actifs, de logiciels afférents, de la maintenance et de prestations associées",SFR BUSINESS,17-134575,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-10194,legacy,72315000,72315000|None,,75700,Paris 07 sp,2000000.0,,,2018-01-16,
18-12119,2018-01-28,2018-02-26,,Conseil régional des Pays de la Loire,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Prestations de services,Renouvellement et exploitation du système d'information multimodale DESTINEO en Région des Pays de la Loire - Lot no4: Prestations d'exploitation,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-12119,legacy,72312000,72312000,,44966,Nantes cedex 9,,,,,
18-10400,2018-01-25,2018-02-27,,METROPOLE NANTES METROPOLE,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Alimentation en eau potable|Assainissement|Etanchéité|Matériel de secours et d'incendie|Pièces détachées|Produits des industries diverses,fourniture de pièces de réseau pour les opérateurs publics de l'eau et de l'assainissement,BAYARD|SAINT GOBAIN PAM|BAYARD|SOVAL SA|LNTP|SAINT GOBAIN PAM|BAYARD|LNTP,17-123595,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-10400,legacy,44482200,44482200|35111200|34312500|44470000|44212382|42131146,,44928,Nantes cedex 9,277457.36,,,2018-01-18,2017-09-08
18-13131,2018-01-29,2018-02-23,2018-02-23T11:00:00+00:00,Cté de Communes d'Erdre et Gesvres,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Logiciel,Acquisition d'un logiciel de gestion des activités : petite enfance et enfance jeunesse.,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-13131,legacy,48000000,48000000,,44119,Grandchamp des Fontaines,,39.0,DUREE_MOIS,,
18-12847,2018-01-31,2018-03-29,,DIR INTERDEPARTEMENTALE ROUTES OUEST,35|22|29|44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services),16-DIR-UDI-05,,17-136551,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-12847,legacy,72267000,72267000,,35061,Rennes cedex,,,,,
18-13243,2018-01-29,2018-02-16,2018-02-16T11:00:00+00:00,Université d'Angers,49,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Logiciel|Maintenance,Maintenance du logiciel ZIMBRA,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-13243,legacy,72267100,72267100,,49035,Angers cedex 01,,48.0,DUREE_MOIS,,
18-12877,2018-01-31,2018-03-03,,Nantes Métropole,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services),"prestations en appui de la conduite de projets informatiques pour le compte du groupement de commande nantes métropole, ville de nantes et ccas",One Point|GFI  Informatique,17-111330,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-12877,legacy,72250000,72250000,,,Nantes Cedex 9,738538.25,,,2018-01-16,2017-08-11
18-14081,2018-02-02,2018-03-06,,CDC du Pays de Saint Gilles Cx de Vie,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Logiciel,fourniture d'un logiciel de gestion enfance / petite enfance / affaires scolaires et prestations associees,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-14081,legacy,48000000,48000000|FA03,,85806,Saint gilles croix de vie,160000.0,48.0,DUREE_MOIS,,
18-13691,2018-02-01,2018-03-30,,Conseil régional des Pays de la Loire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Logiciel,A completer,JDS CONSEIL,17-142035,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-13691,legacy,48000000,48000000,,44966,Nantes cedex 9,500000.0,,,2017-12-26,
18-15680,2018-02-07,2018-02-28,2018-02-28T11:00:00+00:00,Commune de Saint-Nazaire,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Informatique (maintenance serveurs et réseaux),18S0009 - tierce maintenance applicative des sites internet de la ville de Saint-Nazaire et de la Carene,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-15680,legacy,72000000,72000000,,44606,Saint-Nazaire cédex,160000.0,48.0,DUREE_MOIS,,
18-13756,2018-02-01,2018-03-30,,Conseil régional des Pays de la Loire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Logiciel,A completer,CITYWAY,17-140948,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-13756,legacy,48000000,48000000,,44966,Nantes cedex 9,400000.0,,,2017-12-30,
18-17886,2018-02-07,2018-03-15,2018-03-15T16:00:00+00:00,Département de la Vendée,85,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Informatique (assistance),Assistance technique et prestations d'experts sur l'environnement Microsoft,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:18-17886,legacy,72600000,72600000,,85923,LA ROCHE SUR YON,,12.0,DUREE_MOIS,,
19-3707,2019-01-09,2019-02-25,2019-02-01T11:00:00+00:00,CH LE MANS,72,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,FOURNITURES,5|1|,Informatique (matériel),Acquisition d'un outil de control de sérialisation et de maintenance pour les établissements parties du GHT 72,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-3707,legacy,48170000,48170000,,72037,Le mans cedex 09,,36.0,DUREE_MOIS,,
19-2847,2019-01-10,2019-03-08,,Conseil départemental Loire-Atlantique,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Maîtrise d'oeuvre|Assistance à maîtrise d'ouvrage,Prestations d'assistance à maîtrise d'ouvrage et maîtrise d'oeuvre de développement numérique,CGI FRANCE|Wavestone Advisors|Libre Logic SARL|Société ASI INFORMATIQUE|Apside|Wavestone Advisors|CGI FRANCE|Smile,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-2847,legacy,72600000,72600000,,44041,NANTES,2000000.0,,,2018-12-06,
19-1474,2019-01-06,2019-01-17,,Nantes Métropole,44,JOUE,RECTIFICATIF,Rectificatif,,SERVICES,,Télésurveillance,prestation de télésurveillance électronique pour des installations provisoires sur les sites de la ville de nantes et de nantes métropole (rectificatif),,18-168544,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:19-1474,legacy,35120000,35120000,,44923,Nantes cedex 9,,,,,
19-1779,2019-01-09,2019-02-08,,Conseil régional des Pays de la Loire,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services),Créations et développements numériques hors typo 3,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-1779,legacy,72212300,72212300,,44966,Nantes cedex 9,,12.0,DUREE_MOIS,,
19-1347,2019-01-10,2019-02-08,,Commune de Saint-Nazaire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Informatique (matériel),18s0066 - fournitures de services de solutions d'impression bureautiques - groupement de commande,Sas OMR Impression|Ricoh France SAS|Sphere Bureautique,18-97260,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-1347,legacy,30120000,30120000|32581200,,44606,Saint-Nazaire cédex,963011.0,,,2018-11-29,2018-07-17
19-23801,2019-02-16,2019-03-15,,Conseil départemental Loire-Atlantique,44,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Contrôle d'accès|Surveillance|Télésurveillance,"fourniture, pose et maintenance des équipements de sûreté des bâtiments du département de loire-atlantique (rectificatif)",,19-21908,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:19-23801,legacy,35120000,35120000,,44041,Nantes,,,,,
19-3078,2019-01-10,2019-03-04,,Laval Agglomération,53,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,TRAVAUX,5|1|,Audiovisuel|Bâtiment|Mobilier|Plomberie (travaux)|Textile|Tous corps d'état,Travaux de construction d'un pôle culturel à Laval,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-3078,legacy,45212300,45212300|45000000|None|45262650|45443000|44316500|45421150|45432100|45311000|45313100|32320000|39110000,,53008,Laval cedex,,22.0,DUREE_MOIS,,
19-3641,2019-01-11,2019-04-01,,CCIR Pays de la Loire,44|85|52|49,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services),Marché de prestations de services informatiques pour l'externalisation de la hot line informatique,PROSERVIA,18-148384,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-3641,legacy,72610000,72610000,,44105,Nantes Cedex 4,436920.0,,,2018-12-26,
19-57094,2019-04-14,2019-05-30,,LA ROCHE-SUR-YON AGGLOMERATION,85,JOUE,PRE-INFORMATION,Avis informatif,,TRAVAUX,5||3,"Ascenseur|Bâtiment|Charpente|Chauffage (travaux)|Cloison, faux plafond|Couverture|Electricité (travaux)|Espaces verts|Gros oeuvre|Matériel scénique|Menuiserie|Oeuvre d'art|Peinture (travaux)|Plomberie (travaux)|Revêtements de sols|Serrurerie|Terrassement|Ventilation",construction de la nouvelle scène de musiques actuelles de la roche-sur-yon agglomération,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-57094,legacy,45212000,45212000|None|45223220|45261100|45261210|45421000|44316500|44112300|44112200|44810000|09310000|32351000|44812000,,85000,La Roche-sur-Yon,,,,,
19-2530,2019-01-10,2019-02-08,,CTRE NATIONAL D ENST A DISTANCE,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Maintenance,Tierce maintenance applicative sur un ensemble de sites web et de leur back office,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-2530,legacy,72250000,72250000|72251000,,86963,Chasseneuil futuroscope cedex,,12.0,DUREE_MOIS,,
19-3799,2019-01-11,2019-03-09,,SDIS 44,44|22|35|50,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Matériel de sécurité,"Fourniture de gilets de signalisation haute visibilité, de reconnaissance et de fonction destinée à l'activité des Sapeur-Pompiers",T2S,18-134465,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-3799,legacy,35113440,35113440,,44243,La chapelle sur erdre,25624.1,,,2018-01-03,
19-61573,2019-04-18,2019-05-13,,Conseil régional des Pays de la Loire,44,JOUE,RECTIFICATIF,Rectificatif,,FOURNITURES,,Logiciel,Fourniture de Licences logicielles Microsoft,,19-56150,,RECTIFICATIF,https://www.boamp.fr/pages/avis/?q=idweb:19-61573,legacy,48000000,48000000,,44966,Nantes cedex 9,,,,,
19-8964,2019-01-17,2019-02-08,2019-02-08T10:30:00+00:00,DEPARTEMENT DE LA SARTHE,72,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Informatique (prestations de services),Prestations d'accompagnement à la mis en place d'un système d'information décisionnel,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-8964,legacy,72600000,72600000,,72072,Le Mans,,,,,
19-3973,2019-01-13,2019-03-03,,Ville de Cholet,49,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Eclairage public|Prestations de services|Ingénierie,géoréférencement des réseaux d'éclairage public et de signalisation lumineuse tricolore - groupement de commandes,Société ADRE Réseaux,18-91441,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-3973,legacy,48326100,48326100,,49321,Cholet cedex,420000.0,,,2019-01-03,2018-07-05
19-8916,2019-01-17,2019-02-11,2019-02-11T13:00:00+00:00,Angers Loire Métropole,49,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Logiciel,Solution d'accès et de saisie de données en mobilité,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-8916,legacy,48900000,48900000,,49020,ANGERS,208999.0,12.0,DUREE_MOIS,,
19-8315,2019-01-19,2019-03-17,,Laval Agglomération,53,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (maintenance serveurs et réseaux),"Évolution de l'infrastructure du système d'information pour le groupement de commande composé de la ville, du CCAS et de l'agglomération de Laval",DFI,18-129881,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-8315,legacy,48822000,48822000,,53008,Laval cedex,466928.93,,,2018-12-10,
19-9782,2019-01-18,2019-02-12,2019-02-12T11:00:00+00:00,COM D AGGLO REG NAZAIRIENNE ESTUAIRE,44,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Logiciel,19S0002_Acquisition et maintenance d'un système de gestion du dispositif Ecorenove pour la CARENE,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-9782,legacy,72500000,72500000,,44605,Saint-Nazaire,,12.0,DUREE_MOIS,,
19-9498,2019-01-23,2019-03-21,,Angers Loire Métropole,49,JOUE,ATTRIBUTION,Résultat de marché,RESTREINT,SERVICES,|10|6,"Mission d'ordonnancement, pilotage, coordination (OPC)",opc urbain - renouvelement urbain npnru belle-beille et monplaisir,EGIS CONSEIL,18-101099|18-105346,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-9498,legacy,72224000,72224000,,49020,Angers,,,,2018-12-20,2018-07-24
19-7404,2019-01-18,2019-02-20,,DIR INTERDEPARTEMENTALE ROUTES OUEST,35|22|29|44|53|56,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Informatique (prestations de services),Fourniture en temps réel en temps différé de données vitesse issues de la localisation GNSS des véhicules circulant sur le réseau routier de la DIR-OUEST et des partenaires,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-7404,legacy,72319000,72319000,,35031,RENNES CEDEX,,12.0,DUREE_MOIS,,
19-10753,2019-01-24,2019-03-21,,Université d'Angers,49,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Audiovisuel,Accord cadre relatif à la fourniture et pose de matériels audiovisuels,ELACOM|SEDIM|SAS VIDELIO IEC|ELACOM,18-128950,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-10753,legacy,32321300,32321300,,49035,Angers cedex 01,855800.0,,,2019-01-17,
19-8820,2019-01-19,2019-03-01,,AGCE POUR L ENST FR A L ETRANGER,75|44,JOUE,APPEL_OFFRE,Avis de marché,RESTREINT,SERVICES,5|1|,Logiciel,MISE A DISPOSITION D'UNE SOLUTION LOGICIELLE INFORMATIQUE DE GESTION BUDGETAIRE ET COMPTABLE ET SERVICES ASSOCIES,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-8820,legacy,72220000,72220000,,75014,Paris,350000.0,24.0,DUREE_MOIS,,
19-12274,2019-01-25,2019-03-30,,SPR Pays de la Loire,44|49|53|85,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,TRAVAUX,|10|6,Bâtiment,Construction du pôle mutualisé de formations à SAUMUR (49),GOHARD SAS,18-93488,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-12274,legacy,45214800,45214800|45110000|45112710|45262210|45223220|45261000|45262650|45261420|45261213|45421000|44316500|44112000|45421146|44112310|32321200|None|45432111|45442100|35261000|42416100|09310000,,44202,Nantes,63573.1,,,2018-12-03,
19-10579,2019-01-21,2019-02-08,2019-02-08T15:00:00+00:00,Ville d'Angers,49,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,FOURNITURES,5|1|,Panneaux,Renouvellement du dispositif de lutrins patrimoniaux dans le centre-ville d'Angers (Maine-et-Loire),,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-10579,legacy,35261000,35261000,,49020,ANGERS,208000.0,48.0,DUREE_MOIS,,
19-16548,2019-02-02,2019-03-02,,Université de Nantes,44|85,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Audiovisuel|Informatique (matériel),"Fourniture de matériels informatiques et fourniture, installation d'équipements audiovisuels pour l'Université de Nantes",ESI FRANCE|CALESTOR-PERIWAY|OFFICEXPRESS|SEDIM JACLEBERT|SAS VIDELIO-IEC,18-101350,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-16548,legacy,30200000,30200000|32321200,,44035,Nantes cedex 1,3650000.0,,,2018-12-21,
19-10428,2019-01-23,2019-02-25,,Département de la Vendée,85,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Signalisation,"Fourniture et pose de la signalisation des itinéraires cyclables, pédestres et équestres de la Vendée",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-10428,legacy,35261000,35261000|None,,85923,La Roche Sur Yon,,12.0,DUREE_MOIS,,
19-16148,2019-02-02,2019-03-31,,CHU de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,ATTRIBUE_SANS_PUB_JOUE,SERVICES,|10|6,Informatique (prestations de services),"Maintenance corrective, adaptative, règlementaire et évolutive du progiciel XPLORE WEB",EDL,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-16148,legacy,72267100,72267100,,44093,Nantes cedex,216511.68,,,2019-01-29,
19-12872,2019-01-24,2019-02-22,2019-02-22T11:00:00+00:00,Communauté d'agglomération du Niortais,79|16|17|86|33|44|87|85|49,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,SERVICES,5|1|,Informatique (prestations de services),La consultation porte sur la passation simultannée de deux contrats : - Un accord cadre qui a pour objet de définir les termes des marchés à passer pour la mise en place d'un marché de service p,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-12872,legacy,48900000,48900000,,79027,Niort cedex,,48.0,DUREE_MOIS,,
19-19522,2019-02-08,2019-02-27,,GIE SESAM Vitale,72,JOUE,ATTRIBUTION,Résultat de marché,NEGOCIE,SERVICES,|10|6,Assistance technique,Assistance technique- Sécurité des systèmes d'information,Orange cyberdefense|Wavestone advisors|Oppida,18-26430,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-19522,legacy,72000000,72000000,,72019,Le mans cedex 2,877925.0,,,2019-01-11,
19-13483,2019-01-27,2019-03-01,,ONIRIS,44,JOUE,APPEL_OFFRE,Avis de marché,DIALOGUE_COMPETITIF,SERVICES,5|1|,Logiciel,Système d'information de laboratoires d'analyses de biologie vétérinaire,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-13483,legacy,48000000,48000000|LA21,,44307,Nantes,,8.0,DUREE_MOIS,,
19-21362,2019-02-10,2019-04-08,,Conseil départemental Loire-Atlantique,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,TRAVAUX,|10|6,Bâtiment,Reconstruction du centre départemental enfance familles (CDEF) à SAINT SEBASTIEN SUR LOIRE,DONADA|AUBRON MECHINEAU|DOUILLARD|Société ANDRE BTP|SANI TOITURE|Société OUEST ETANCHE|SN ALUGO|TSI METATECH TUYAUTERIE SOUDURE INDUSTRIELLE|MENUISERIE CARDINAL|Société APPLICATION TECHNIQUES INDUSTRIELLES (SATI)|Société PLAFISOL|BATICERAM|BATICERAM|Société ROSSI|Entreprise VILLEMONTEIL|Société NOUVELLE SOCIETE D ASCENSEURS|Société CEME MOREAU|BLI SAS|ETABLISSEMENT BIARD FROID|BUREAU TP (Travaux Publics)|ARBORA,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-21362,legacy,45215210,45215210|None|45223220|45261100|45261213|45421146|45262321|45431000|45432111|45442100|45313100|39221000|32400000|45112710,,44041,NANTES,9750000.0,,,2019-01-24,
19-16528,2019-01-31,2019-02-26,2019-02-26T11:00:00+00:00,CDC du Pays de Saint Gilles Cx de Vie,85,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,,5|1|,"Ascenseur|Détection incendie|Extincteur|Gaz divers|Matériel agricole, horticole|Matériel électrique|Matériel de manutention|Matériel de sécurité|Réseaux divers|Sécurité incendie|Ventilation|Aire de jeux|Porte automatique, portail",Contrôle et vérifications périodiques réglementaires,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-16528,legacy,71315400,71315400|50532400|71315410|50531200|35100000|71631100|50870000,,85806,Saint gilles croix de vie,,36.0,DUREE_MOIS,,
19-21876,2019-02-13,2019-04-08,,DIR INTERDEPARTEMENTALE ROUTES OUEST,35|22|44|29,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (matériel)|Réseaux divers,18-DIR-UDI-03,,18-87219,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-21876,legacy,72267000,72267000,,35061,Rennes cedex,,,,,
19-15670,2019-02-01,2019-03-08,,CTRE HOSP UNIVERSITAIRE ANGERS,49,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Télésurveillance,La location en mode SaaS (logiciel en tant que service) d'un logiciel de gestion des plannings médicaux ainsi que toutes les prestations nécessaires à sa mise en oeuvre et à sa maintenance.,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-15670,legacy,72000000,72000000,,49933,Angers cédex 9,,48.0,DUREE_MOIS,,
19-22323,2019-02-13,2019-04-04,,Conseil régional des Pays de la Loire,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Site internet,REFONTE DES SITES INSTITUTIONNELS ET INTERNE DE LA REGION DES PAYS DE LA LOIRE,RC2C SA,18-128655,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-22323,legacy,72420000,72420000,,44966,Nantes cedex 9,800000.0,,,2019-01-11,
19-16942,2019-02-03,2019-03-06,,Nantes Métropole,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Prestations de services,"Mission de veille de la presse écrite, audiovisuelle et du web sur le thème "" jules verne "" au profit du musée Jules Verne de Nantes métropole.",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-16942,legacy,72318000,72318000,,44923,Nantes  cedex 9,,48.0,DUREE_MOIS,,
19-24293,2019-02-16,2019-05-14,,MAINE LOIRE HABITAT OFFICE PUB HABITAT,49,JOUE,ATTRIBUTION,Résultat de marché,NEGOCIE,SERVICES,|10|6,Informatique (maintenance serveurs et réseaux),Hébergement et infogérance de serveurs - Groupement de commande,Sgma Informatique,18-101085,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-24293,legacy,72700000,72700000|48800000,,49001,Angers,566614.0,,,2018-12-13,
19-17531,2019-02-03,2019-03-03,,association songo,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Audiovisuel,"MARCHE 19_01 : FOURNITURE, INSTALLATION ET SERVICE APRES-VENTE DE MATERIELS AUDIOVISUELS",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-17531,legacy,32321300,32321300|None,,44200,Nantes,,6.0,DUREE_MOIS,,
19-24486,2019-02-16,2019-03-12,,AGCE POUR L ENST FR A L ETRANGER,75|44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services),"Tierce maintenance applicative, d'assistance à maîtrise d'oeuvre et d'assistance à maîtrise d'ouvrage portant sur l'application MAGE basée sur l'ERP PeopleSoft",HRGSYS,18-144285,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-24486,legacy,72500000,72500000,,75014,Paris,2496000.0,,,2019-02-12,
19-17058,2019-02-03,2019-03-07,,Conseil régional des Pays de la Loire,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Prestations de services,Accompagnement à la mise en oeuvre de la transformation numérique,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-17058,legacy,72220000,72220000,,44966,Nantes cedex 9,,12.0,DUREE_MOIS,,
19-26906,2019-02-21,2019-03-20,,Nantes Métropole,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (assistance),maintenance et extension de progiciels systèmes,AIS,18-53804,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:19-26906,legacy,48213000,48213000,,44923,Nantes cedex 9,228931.0,,,2018-08-21,2018-04-24
